X Grid Position, Y  Grid Position, VecX, VecY, VecZ,,,,,,,,,,,,,
13,9,6.515864,-0.4728326,4.501446,,,,6.515864,4.501446,-0.4728326,,,,,,,
13,10,6.515385,-0.5227723,4.995606,,,,6.515385,4.995606,-0.5227723,,,,,,,
13,11,6.51619,-0.4900984,5.495973,,,,6.51619,5.495973,-0.4900984,,,,,,,
13,12,6.516769,-0.4559696,5.996316,,,,6.516769,5.996316,-0.4559696,,,,,,,
13,13,6.517094,-0.4216653,6.496633,,,,6.517094,6.496633,-0.4216653,,,,,,,
13,14,6.517172,-0.3881989,6.996923,,,,6.517172,6.996923,-0.3881989,,,,,,,
14,0,6.636338,0.109296,0.0153013,,,,6.636338,0.0153013,0.109296,,,,,,,
14,1,6.677618,0.06485099,0.5145953,,,,6.677618,0.5145953,0.06485099,,,,,,,
14,2,6.364569,0.03496336,1.010348,,,,6.364569,1.010348,0.03496336,,,,,,,
14,3,6.356278,3.07E-05,1.507993,,,,6.356278,1.507993,3.07E-05,,,,,,,
14,4,6.670546,-0.0182774,2.017757,,,,6.670546,2.017757,-0.0182774,,,,,,,
14,5,6.635813,0.04084078,2.499803,,,,6.635813,2.499803,0.04084078,,,,,,,
14,6,6.314304,0.005013218,2.997767,,,,6.314304,2.997767,0.005013218,,,,,,,
14,7,6.244129,-0.03714866,3.5,,,,6.244129,3.5,-0.03714866,,,,,,,
14,8,6.314303,0.005013186,4.002233,,,,6.314303,4.002233,0.005013186,,,,,,,
14,9,6.635812,0.04084045,4.500194,,,,6.635812,4.500194,0.04084045,,,,,,,
14,10,6.670546,-0.01827767,4.982246,,,,6.670546,4.982246,-0.01827767,,,,,,,
14,11,6.356278,3.05E-05,5.492006,,,,6.356278,5.492006,3.05E-05,,,,,,,
14,12,6.364569,0.03496339,5.98965,,,,6.364569,5.98965,0.03496339,,,,,,,
14,13,6.677616,0.06485144,6.485402,,,,6.677616,6.485402,0.06485144,,,,,,,
14,14,6.636337,0.1092963,6.984696,,,,6.636337,6.984696,0.1092963,,,,,,,
